model,task,n_episodes,n_variants,success_rate,efficiency_on_success,expected_efficiency,ecsr,ecsr_se,ecsr_ci95,rule_score,rule_score_se,rule_score_ci95,instance_accuracy,input_score,output_score
gemini3.1,additive,60,20.0,0.8333,0.6715,0.5595,0.4911,0.0726,0.1519,0.475,0.0992,0.2076,0.7667,0.7,0.8
gemini3.1,compositional,60,20.0,0.8,0.6101,0.4881,0.4491,0.0463,0.0969,0.475,0.0923,0.1932,1.0,0.7,0.825
gemini3.1,conditional,80,20.0,0.65,0.533,0.3465,0.2858,0.0298,0.0624,0.0,0.0,0.0,0.225,0.675,0.625
gemini3.1,override,40,20.0,0.725,0.8689,0.63,0.5983,0.0631,0.132,0.0,0.0,0.0,0.675,0.4,0.775
gemini3.1,proc_add,20,20.0,0.65,0.826,0.5369,0.4804,0.082,0.1716,0.1,0.0688,0.1441,0.2,0.45,0.75
gemini3.1,proc_comp,18,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.025,0.0523,0.1,0.175,0.425
gemini3.1,proc_cond,20,20.0,0.05,1.0,0.05,0.05,0.05,0.1047,0.0,0.0,0.0,0.1,0.05,0.4
gemini3.1,proc_over,59,20.0,0.2373,0.8063,0.1913,0.176,0.046,0.0963,0.0,0.0,0.0,0.1,0.325,0.5
gpt5,additive,60,20.0,0.8167,0.8324,0.6798,0.6455,0.0546,0.1142,0.475,0.1056,0.221,0.75,0.8,0.925
gpt5,compositional,59,20.0,0.9831,0.9542,0.938,0.9324,0.0342,0.0715,0.6,0.0858,0.1797,1.0,0.75,0.925
gpt5,conditional,80,20.0,0.55,0.6962,0.3829,0.3495,0.0501,0.1049,0.0,0.0,0.0,0.575,0.7,0.95
gpt5,override,39,20.0,0.9231,0.9278,0.8564,0.8342,0.0618,0.1294,0.425,0.0978,0.2048,0.825,0.65,0.825
gpt5,proc_add,20,20.0,0.45,0.8545,0.3845,0.3518,0.09,0.1884,0.425,0.1043,0.2184,0.5,0.775,0.9
gpt5,proc_comp,20,20.0,0.2,0.7178,0.1436,0.1247,0.0691,0.1446,0.075,0.0547,0.1145,0.6,0.175,0.45
gpt5,proc_cond,19,19.0,0.1579,1.0,0.1579,0.1579,0.0859,0.1806,0.0,0.0,0.0,0.25,0.05,0.375
gpt5,proc_over,58,20.0,0.2931,0.7796,0.2285,0.207,0.0405,0.0847,0.3,0.0918,0.1921,0.55,0.65,0.625
gptoss,additive,60,20.0,0.95,0.916,0.8702,0.8503,0.0384,0.0804,0.475,0.1117,0.2337,0.8667,0.8,0.925
gptoss,compositional,60,20.0,1.0,0.9166,0.9166,0.9062,0.035,0.0733,0.8,0.0761,0.1593,1.0,0.95,0.95
gptoss,conditional,80,20.0,0.6625,0.6469,0.4286,0.3818,0.0484,0.1012,0.2,0.0761,0.1593,0.575,0.925,1.0
gptoss,override,40,20.0,0.85,0.8677,0.7376,0.7001,0.0752,0.1573,0.425,0.1105,0.2312,0.925,0.625,0.925
gptoss,proc_add,20,20.0,0.6,0.8363,0.5018,0.4527,0.0865,0.1811,0.45,0.1082,0.2265,0.55,0.75,0.9
gptoss,proc_comp,20,20.0,0.25,0.3339,0.0835,0.028,0.0139,0.0291,0.425,0.1105,0.2312,0.55,0.475,0.7
gptoss,proc_cond,20,20.0,0.4,0.7668,0.3067,0.2601,0.0931,0.1949,0.0,0.0,0.0,0.2,0.15,0.55
gptoss,proc_over,60,20.0,0.55,0.8869,0.4878,0.4671,0.0753,0.1576,0.525,0.0992,0.2076,0.7333,0.75,0.6
human,additive,21,,0.9048,0.7589,0.6866,0.6321,,,0.7143,,,,,
human,compositional,21,,1.0,0.7744,0.7744,0.7462,,,0.7857,,,,,
human,conditional,28,,0.8929,0.6951,0.6206,0.5662,,,0.6429,,,,,
human,override,14,,1.0,0.8365,0.8365,0.782,,,1.0,,,,,
human,proc_add,7,,0.8571,0.8075,0.6922,0.6097,,,0.7143,,,,,
human,proc_comp,7,,0.5714,1.0,0.5714,0.5714,,,0.5714,,,,,
human,proc_cond,7,,0.8571,0.8194,0.7024,0.625,,,0.5714,,,,,
human,proc_over,21,,0.8571,0.7549,0.647,0.577,,,0.7143,,,,,
llama,additive,60,20.0,0.15,0.8783,0.1317,0.1272,0.0623,0.1303,0.025,0.025,0.0523,0.3667,0.35,0.525
llama,compositional,60,20.0,0.6833,0.863,0.5897,0.578,0.0534,0.1117,0.2,0.0669,0.14,0.5167,0.5,0.7
llama,conditional,80,20.0,0.375,0.8435,0.3163,0.3046,0.0609,0.1274,0.0,0.0,0.0,0.375,0.225,0.55
llama,override,40,20.0,0.55,0.91,0.5005,0.484,0.0552,0.1156,0.0,0.0,0.0,0.575,0.275,0.425
llama,proc_add,20,20.0,0.5,0.8881,0.444,0.4161,0.0971,0.2033,0.0,0.0,0.0,0.1,0.45,0.625
llama,proc_comp,20,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.25,0.375
llama,proc_cond,20,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.075,0.375
llama,proc_over,60,20.0,0.0667,0.6875,0.0458,0.0389,0.0271,0.0567,0.1,0.0459,0.096,0.3,0.55,0.45
olmo,additive,60,20.0,0.45,0.8439,0.3798,0.3622,0.0695,0.1454,0.05,0.05,0.1047,,0.4,0.575
olmo,compositional,60,20.0,0.3833,0.568,0.2177,0.197,0.0462,0.0966,0.0,0.0,0.0,,0.225,0.575
olmo,conditional,80,20.0,0.3875,0.6616,0.2564,0.2301,0.0272,0.0568,0.0,0.0,0.0,,0.225,0.55
olmo,override,40,20.0,0.4,0.7117,0.2847,0.2462,0.0659,0.138,0.0,0.0,0.0,,0.075,0.4
olmo,proc_add,20,20.0,0.4,0.8542,0.3417,0.3125,0.0886,0.1855,0.0,0.0,0.0,,0.15,0.675
olmo,proc_comp,20,20.0,0.1,0.3394,0.0339,0.0119,0.0093,0.0195,0.0,0.0,0.0,,0.125,0.1
olmo,proc_cond,20,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.1
olmo,proc_over,60,20.0,0.05,1.0,0.05,0.05,0.0273,0.0572,0.05,0.05,0.1047,,0.375,0.625
qwen27b,additive,60,20.0,0.45,0.5911,0.266,0.22,0.0519,0.1085,0.125,0.0714,0.1495,0.3,0.5,0.625
qwen27b,compositional,60,20.0,0.7333,0.6146,0.4507,0.4154,0.0575,0.1204,0.3,0.0843,0.1764,0.8,0.625,0.875
qwen27b,conditional,80,20.0,0.6375,0.5468,0.3486,0.2908,0.0471,0.0986,0.025,0.025,0.0523,0.3375,0.55,0.75
qwen27b,override,40,20.0,0.5,0.7427,0.3714,0.3285,0.0712,0.1491,0.075,0.041,0.0857,0.6,0.45,0.675
qwen27b,proc_add,20,20.0,0.75,0.6984,0.5238,0.4107,0.0736,0.154,0.0,0.0,0.0,0.05,0.375,0.9
