model,task,n_episodes,n_variants,success_rate,efficiency_on_success,expected_efficiency,ecsr,ecsr_se,ecsr_ci95,rule_score,rule_score_se,rule_score_ci95,delta_ecsr,delta_ecsr_p_raw,delta_ecsr_p_adj,delta_ecsr_sig
gpt5,additive,60,20,0.8167,0.8324,0.6798,0.6455,0.0546,0.1142,0.475,0.1056,0.221,0.0,,,
gpt5,compositional,59,20,0.9831,0.9542,0.938,0.9324,0.0342,0.0715,0.6,0.0858,0.1797,0.0,,,
gpt5,conditional,80,20,0.55,0.6962,0.3829,0.3495,0.0501,0.1049,0.0,0.0,0.0,0.0,,,
gpt5,override,39,20,0.9231,0.9278,0.8564,0.8342,0.0618,0.1294,0.425,0.0978,0.2048,0.0,,,
gpt5,proc_add,20,20,0.45,0.8545,0.3845,0.3518,0.09,0.1884,0.425,0.1043,0.2184,0.0,,,
gpt5,proc_comp,20,20,0.2,0.7178,0.1436,0.1247,0.0691,0.1446,0.075,0.0547,0.1145,0.0,,,
gpt5,proc_cond,19,19,0.1579,1.0,0.1579,0.1579,0.0859,0.1806,0.0,0.0,0.0,0.0,,,
gpt5,proc_over,58,20,0.2931,0.7796,0.2285,0.207,0.0405,0.0847,0.3,0.0918,0.1921,0.0,,,
gpt5_ace,additive,60,20,0.9333,0.7859,0.7335,0.6835,0.0581,0.1217,0.45,0.102,0.2134,0.038,0.5911,1.0,
gpt5_ace,compositional,60,20,0.9833,0.9193,0.904,0.8941,0.0329,0.0688,0.55,0.0803,0.1681,-0.0383,0.401,1.0,
gpt5_ace,conditional,80,20,0.7875,0.6901,0.5434,0.4946,0.0468,0.098,0.0,0.0,0.0,0.1451,0.0103,0.3296,
gpt5_ace,override,40,20,0.9,0.9086,0.8177,0.7903,0.0492,0.1029,0.05,0.0344,0.072,-0.0439,0.5779,1.0,
gpt5_ace,proc_add,20,20,0.55,0.8718,0.4795,0.4442,0.0935,0.1957,0.475,0.1117,0.2337,0.0924,0.061,1.0,
gpt5_ace,proc_comp,20,20,0.35,0.6477,0.2267,0.1856,0.0759,0.1589,0.05,0.0344,0.072,0.0609,0.5642,1.0,
