model,task,n_episodes,n_variants,success_rate,efficiency_on_success,expected_efficiency,ecsr,ecsr_se,ecsr_ci95,rule_score,rule_score_se,rule_score_ci95,delta_ecsr,delta_ecsr_p_raw,delta_ecsr_p_adj,delta_ecsr_sig
qwen27b,additive,60,20,0.45,0.5911,0.266,0.22,0.0519,0.1085,0.125,0.0714,0.1495,0.0,,,
qwen27b,compositional,60,20,0.7333,0.6146,0.4507,0.4154,0.0575,0.1204,0.3,0.0843,0.1764,0.0,,,
qwen27b,conditional,80,20,0.6375,0.5468,0.3486,0.2908,0.0471,0.0986,0.025,0.025,0.0523,0.0,,,
qwen27b,override,40,20,0.5,0.7427,0.3714,0.3285,0.0712,0.1491,0.075,0.041,0.0857,0.0,,,
qwen27b,proc_add,20,20,0.75,0.6984,0.5238,0.4107,0.0736,0.154,0.0,0.0,0.0,0.0,,,
qwen27b,proc_comp,20,20,0.15,0.2963,0.0444,0.0093,0.0059,0.0124,0.0,0.0,0.0,0.0,,,
qwen27b,proc_cond,20,20,0.3,0.9028,0.2708,0.2562,0.0987,0.2066,0.025,0.025,0.0523,0.0,,,
qwen27b,proc_over,60,20,0.3333,0.6255,0.2085,0.1669,0.0518,0.1084,0.025,0.025,0.0523,0.0,,,
qwen27b_ace,additive,60,20,0.8833,0.4469,0.3948,0.2727,0.0527,0.1104,0.075,0.0547,0.1145,0.0527,0.3528,1.0,
qwen27b_ace,compositional,60,20,0.8833,0.6098,0.5387,0.4956,0.0513,0.1073,0.25,0.0769,0.1611,0.0802,0.159,1.0,
qwen27b_ace,conditional,80,20,0.9125,0.4715,0.4302,0.3337,0.0289,0.0604,0.05,0.0344,0.072,0.0429,0.3571,1.0,
qwen27b_ace,override,40,20,0.8,0.7698,0.6159,0.5545,0.069,0.1444,0.075,0.0547,0.1145,0.226,0.0031,0.0992,
qwen27b_ace,proc_add,20,20,0.65,0.7463,0.4851,0.4027,0.0789,0.1652,0.05,0.0344,0.072,-0.008,0.8697,1.0,
qwen27b_ace,proc_comp,20,20,0.3,0.359,0.1077,0.0436,0.023,0.0481,0.0,0.0,0.0,0.0343,0.1223,1.0,
qwen27b_ace,proc_cond,20,20,0.3,0.8651,0.2595,0.2393,0.0948,0.1985,0.0,0.0,0.0,-0.0169,0.8865,1.0,
qwen27b_ace,proc_over,60,20,0.4,0.7046,0.2819,0.2425,0.0465,0.0973,0.05,0.05,0.1047,0.0756,0.2794,1.0,
qwen27b_hr,additive,60,20,0.7667,0.6306,0.4835,0.4127,0.0739,0.1547,0.225,0.0923,0.1932,0.1927,0.0012,0.0384,*
